test,old_states,old_time_s,old_mem_kb,old_success,new_states,new_time_s,new_mem_kb,new_success
test-data/test-vis1.csv,2,0.0003,5.9,True,2,0.0003,4.7,True
test-data/test-vis2.csv,2,0.0004,10.1,True,2,0.001,7.9,True
test-data/test-vis3.csv,3,0.0006,6.9,True,2,0.0003,4.8,True
test-data/test-vis4.csv,1,0.0001,3.4,True,1,0.0002,3.4,True
test-data/test-vis5.csv,1,0.0003,5.5,True,1,0.0007,5.5,True
test-data/test-vis6.csv,39,0.0067,87.6,True,7,0.0014,19.7,True
test-data/test-vis7.csv,63,0.0043,28.3,True,63,0.0046,28.0,True
test-data/test-vis8.csv,1,0.0002,5.4,True,1,0.0003,5.4,True
test-data/test-vis9.csv,15,0.0008,10.5,True,5,0.0003,5.6,True
test-data/test-vis10.csv,1,0.0002,5.0,True,1,0.0002,5.0,True
test-data/test-vis11.csv,1,0.0002,5.3,True,1,0.0003,5.2,True
test-data/test-vis12.csv,145,0.0185,233.5,True,14,0.0024,30.4,True
test-data/test-vis13.csv,84,0.0273,446.5,True,10,0.0051,71.1,True
test-data/liam-test-vis3.csv,1,0.0,1.5,True,1,0.0001,1.4,True
test-data/liam-test-vis4.csv,156,0.0586,841.7,True,18,0.0101,149.7,True
test-data/liam-test-vis5.csv,-1,15,-1,False,3256,4.199,138094.9,True
test-data/ed-test-vis1.csv,-1,15,-1,False,-1,15,-1,False
test-data/ed-test-vis2.csv,-1,15,-1,False,7950,9.6972,140798.0,True
test-data/ed-test-vis3.csv,-1,15,-1,False,-1,15,-1,False
test-data/ed-test-vis4.csv,-1,15,-1,False,-1,15,-1,False
